ID,WBS,Task Name,Duration (days),Start,Finish,Predecessors,Resource Names,Lump-Sum Cost (USD),Resource-Based Cost (USD),Cost1 (Resource-Based),Cost2 (Resource-Based)
792,3.25.10,Zone 25 - tube welding & seal welding,14,2031-05-05,2031-05-18,,Welding Team,80000,72000,72000,72000
793,3.25.11,Zone 25 - NDT & pressure testing,10,2031-05-20,2031-05-29,,QA Team,40000,36000,36000,36000
794,3.25.12,Zone 25 - pipework & HVAC for tube segment,21,2031-06-04,2031-06-24,,MEP Contractor,90000,81000,81000,81000
795,3.25.13,Zone 25 - install access hatches & maintenance walkways,10,2031-06-29,2031-07-08,,Steel Erector,30000,27000,27000,27000
796,3.25.14,Zone 25 - local controller & sensors install,14,2031-07-09,2031-07-22,,Control Systems,50000,45000,45000,45000
797,3.25.15,Zone 25 - cable tray & fiber install,10,2031-07-24,2031-08-02,,Telco Contractor,30000,27000,27000,27000
798,3.25.16,Zone 25 - access road rehabilitation,7,2031-08-08,2031-08-14,,Civil Contractor,15000,13500,13500,13500
799,3.26.1,Zone 26 - mobilize site compound,14,2030-12-23,2031-01-05,,Construction Contractor,50000,45000,45000,45000
800,3.26.2,Zone 26 - establish access roads,21,2030-12-28,2031-01-17,,Civil Contractor,80000,72000,72000,72000
801,3.26.3,Zone 26 - utility diversions & protections,28,2031-01-02,2031-01-29,,Utilities Contractor,100000,90000,90000,90000
802,3.26.4,Zone 26 - pile layout & markout,7,2031-01-04,2031-01-10,,Survey Team,15000,13500,13500,13500
803,3.26.5,Zone 26 - bore piles / drilled shafts (batch),30,2031-01-12,2031-02-10,,Pile Contractor,300000,270000,270000,270000
804,3.26.6,Zone 26 - cap beams & pile caps,14,2031-02-11,2031-02-24,,Concrete Contractor,120000,108000,108000,108000
805,3.26.7,Zone 26 - erect pylon segments 1-5,21,2031-03-03,2031-03-23,,Steel Erector,180000,162000,162000,162000
806,3.26.8,Zone 26 - install tube supports & saddles,14,2031-03-28,2031-04-10,,Assembly Crew,90000,81000,81000,81000
807,3.26.9,Zone 26 - tube section lift & place (10 sections),30,2031-04-12,2031-05-11,,Heavy Lift,250000,225000,225000,225000
808,3.26.10,Zone 26 - tube welding & seal welding,14,2031-05-12,2031-05-25,,Welding Team,80000,72000,72000,72000
809,3.26.11,Zone 26 - NDT & pressure testing,10,2031-05-27,2031-06-05,,QA Team,40000,36000,36000,36000
810,3.26.12,Zone 26 - pipework & HVAC for tube segment,21,2031-06-11,2031-07-01,,MEP Contractor,90000,81000,81000,81000
811,3.26.13,Zone 26 - install access hatches & maintenance walkways,10,2031-07-06,2031-07-15,,Steel Erector,30000,27000,27000,27000
812,3.26.14,Zone 26 - local controller & sensors install,14,2031-07-16,2031-07-29,,Control Systems,50000,45000,45000,45000
813,3.26.15,Zone 26 - cable tray & fiber install,10,2031-07-31,2031-08-09,,Telco Contractor,30000,27000,27000,27000
814,3.26.16,Zone 26 - access road rehabilitation,7,2031-08-15,2031-08-21,,Civil Contractor,15000,13500,13500,13500
815,3.27.1,Zone 27 - mobilize site compound,14,2030-12-30,2031-01-12,,Construction Contractor,50000,45000,45000,45000
816,3.27.2,Zone 27 - establish access roads,21,2031-01-04,2031-01-24,,Civil Contractor,80000,72000,72000,72000
817,3.27.3,Zone 27 - utility diversions & protections,28,2031-01-09,2031-02-05,,Utilities Contractor,100000,90000,90000,90000
818,3.27.4,Zone 27 - pile layout & markout,7,2031-01-11,2031-01-17,,Survey Team,15000,13500,13500,13500
819,3.27.5,Zone 27 - bore piles / drilled shafts (batch),30,2031-01-19,2031-02-17,,Pile Contractor,300000,270000,270000,270000
820,3.27.6,Zone 27 - cap beams & pile caps,14,2031-02-18,2031-03-03,,Concrete Contractor,120000,108000,108000,108000
821,3.27.7,Zone 27 - erect pylon segments 1-5,21,2031-03-10,2031-03-30,,Steel Erector,180000,162000,162000,162000
822,3.27.8,Zone 27 - install tube supports & saddles,14,2031-04-04,2031-04-17,,Assembly Crew,90000,81000,81000,81000
823,3.27.9,Zone 27 - tube section lift & place (10 sections),30,2031-04-19,2031-05-18,,Heavy Lift,250000,225000,225000,225000
824,3.27.10,Zone 27 - tube welding & seal welding,14,2031-05-19,2031-06-01,,Welding Team,80000,72000,72000,72000
825,3.27.11,Zone 27 - NDT & pressure testing,10,2031-06-03,2031-06-12,,QA Team,40000,36000,36000,36000
826,3.27.12,Zone 27 - pipework & HVAC for tube segment,21,2031-06-18,2031-07-08,,MEP Contractor,90000,81000,81000,81000
827,3.27.13,Zone 27 - install access hatches & maintenance walkways,10,2031-07-13,2031-07-22,,Steel Erector,30000,27000,27000,27000
828,3.27.14,Zone 27 - local controller & sensors install,14,2031-07-23,2031-08-05,,Control Systems,50000,45000,45000,45000
829,3.27.15,Zone 27 - cable tray & fiber install,10,2031-08-07,2031-08-16,,Telco Contractor,30000,27000,27000,27000
830,3.27.16,Zone 27 - access road rehabilitation,7,2031-08-22,2031-08-28,,Civil Contractor,15000,13500,13500,13500
831,3.28.1,Zone 28 - mobilize site compound,14,2031-01-06,2031-01-19,,Construction Contractor,50000,45000,45000,45000
832,3.28.2,Zone 28 - establish access roads,21,2031-01-11,2031-01-31,,Civil Contractor,80000,72000,72000,72000
833,3.28.3,Zone 28 - utility diversions & protections,28,2031-01-16,2031-02-12,,Utilities Contractor,100000,90000,90000,90000
834,3.28.4,Zone 28 - pile layout & markout,7,2031-01-18,2031-01-24,,Survey Team,15000,13500,13500,13500
835,3.28.5,Zone 28 - bore piles / drilled shafts (batch),30,2031-01-26,2031-02-24,,Pile Contractor,300000,270000,270000,270000
836,3.28.6,Zone 28 - cap beams & pile caps,14,2031-02-25,2031-03-10,,Concrete Contractor,120000,108000,108000,108000
837,3.28.7,Zone 28 - erect pylon segments 1-5,21,2031-03-17,2031-04-06,,Steel Erector,180000,162000,162000,162000
838,3.28.8,Zone 28 - install tube supports & saddles,14,2031-04-11,2031-04-24,,Assembly Crew,90000,81000,81000,81000
839,3.28.9,Zone 28 - tube section lift & place (10 sections),30,2031-04-26,2031-05-25,,Heavy Lift,250000,225000,225000,225000
840,3.28.10,Zone 28 - tube welding & seal welding,14,2031-05-26,2031-06-08,,Welding Team,80000,72000,72000,72000
841,3.28.11,Zone 28 - NDT & pressure testing,10,2031-06-10,2031-06-19,,QA Team,40000,36000,36000,36000
842,3.28.12,Zone 28 - pipework & HVAC for tube segment,21,2031-06-25,2031-07-15,,MEP Contractor,90000,81000,81000,81000
843,3.28.13,Zone 28 - install access hatches & maintenance walkways,10,2031-07-20,2031-07-29,,Steel Erector,30000,27000,27000,27000
844,3.28.14,Zone 28 - local controller & sensors install,14,2031-07-30,2031-08-12,,Control Systems,50000,45000,45000,45000
845,3.28.15,Zone 28 - cable tray & fiber install,10,2031-08-14,2031-08-23,,Telco Contractor,30000,27000,27000,27000
846,3.28.16,Zone 28 - access road rehabilitation,7,2031-08-29,2031-09-04,,Civil Contractor,15000,13500,13500,13500
847,3.29.1,Zone 29 - mobilize site compound,14,2031-01-13,2031-01-26,,Construction Contractor,50000,45000,45000,45000
848,3.29.2,Zone 29 - establish access roads,21,2031-01-18,2031-02-07,,Civil Contractor,80000,72000,72000,72000
849,3.29.3,Zone 29 - utility diversions & protections,28,2031-01-23,2031-02-19,,Utilities Contractor,100000,90000,90000,90000
850,3.29.4,Zone 29 - pile layout & markout,7,2031-01-25,2031-01-31,,Survey Team,15000,13500,13500,13500
851,3.29.5,Zone 29 - bore piles / drilled shafts (batch),30,2031-02-02,2031-03-03,,Pile Contractor,300000,270000,270000,270000
852,3.29.6,Zone 29 - cap beams & pile caps,14,2031-03-04,2031-03-17,,Concrete Contractor,120000,108000,108000,108000
853,3.29.7,Zone 29 - erect pylon segments 1-5,21,2031-03-24,2031-04-13,,Steel Erector,180000,162000,162000,162000
854,3.29.8,Zone 29 - install tube supports & saddles,14,2031-04-18,2031-05-01,,Assembly Crew,90000,81000,81000,81000
855,3.29.9,Zone 29 - tube section lift & place (10 sections),30,2031-05-03,2031-06-01,,Heavy Lift,250000,225000,225000,225000
856,3.29.10,Zone 29 - tube welding & seal welding,14,2031-06-02,2031-06-15,,Welding Team,80000,72000,72000,72000
857,3.29.11,Zone 29 - NDT & pressure testing,10,2031-06-17,2031-06-26,,QA Team,40000,36000,36000,36000
858,3.29.12,Zone 29 - pipework & HVAC for tube segment,21,2031-07-02,2031-07-22,,MEP Contractor,90000,81000,81000,81000
859,3.29.13,Zone 29 - install access hatches & maintenance walkways,10,2031-07-27,2031-08-05,,Steel Erector,30000,27000,27000,27000
860,3.29.14,Zone 29 - local controller & sensors install,14,2031-08-06,2031-08-19,,Control Systems,50000,45000,45000,45000
861,3.29.15,Zone 29 - cable tray & fiber install,10,2031-08-21,2031-08-30,,Telco Contractor,30000,27000,27000,27000
862,3.29.16,Zone 29 - access road rehabilitation,7,2031-09-05,2031-09-11,,Civil Contractor,15000,13500,13500,13500
863,3.30.1,Zone 30 - mobilize site compound,14,2031-01-20,2031-02-02,,Construction Contractor,50000,45000,45000,45000
864,3.30.2,Zone 30 - establish access roads,21,2031-01-25,2031-02-14,,Civil Contractor,80000,72000,72000,72000
865,3.30.3,Zone 30 - utility diversions & protections,28,2031-01-30,2031-02-26,,Utilities Contractor,100000,90000,90000,90000
866,3.30.4,Zone 30 - pile layout & markout,7,2031-02-01,2031-02-07,,Survey Team,15000,13500,13500,13500
867,3.30.5,Zone 30 - bore piles / drilled shafts (batch),30,2031-02-09,2031-03-10,,Pile Contractor,300000,270000,270000,270000
868,3.30.6,Zone 30 - cap beams & pile caps,14,2031-03-11,2031-03-24,,Concrete Contractor,120000,108000,108000,108000
869,3.30.7,Zone 30 - erect pylon segments 1-5,21,2031-03-31,2031-04-20,,Steel Erector,180000,162000,162000,162000
870,3.30.8,Zone 30 - install tube supports & saddles,14,2031-04-25,2031-05-08,,Assembly Crew,90000,81000,81000,81000
871,3.30.9,Zone 30 - tube section lift & place (10 sections),30,2031-05-10,2031-06-08,,Heavy Lift,250000,225000,225000,225000
872,3.30.10,Zone 30 - tube welding & seal welding,14,2031-06-09,2031-06-22,,Welding Team,80000,72000,72000,72000
873,3.30.11,Zone 30 - NDT & pressure testing,10,2031-06-24,2031-07-03,,QA Team,40000,36000,36000,36000
874,3.30.12,Zone 30 - pipework & HVAC for tube segment,21,2031-07-09,2031-07-29,,MEP Contractor,90000,81000,81000,81000
875,3.30.13,Zone 30 - install access hatches & maintenance walkways,10,2031-08-03,2031-08-12,,Steel Erector,30000,27000,27000,27000
876,3.30.14,Zone 30 - local controller & sensors install,14,2031-08-13,2031-08-26,,Control Systems,50000,45000,45000,45000
877,3.30.15,Zone 30 - cable tray & fiber install,10,2031-08-28,2031-09-06,,Telco Contractor,30000,27000,27000,27000
878,3.30.16,Zone 30 - access road rehabilitation,7,2031-09-12,2031-09-18,,Civil Contractor,15000,13500,13500,13500
879,3.31.1,Zone 31 - mobilize site compound,14,2031-01-27,2031-02-09,,Construction Contractor,50000,45000,45000,45000
880,3.31.2,Zone 31 - establish access roads,21,2031-02-01,2031-02-21,,Civil Contractor,80000,72000,72000,72000
881,3.31.3,Zone 31 - utility diversions & protections,28,2031-02-06,2031-03-05,,Utilities Contractor,100000,90000,90000,90000
882,3.31.4,Zone 31 - pile layout & markout,7,2031-02-08,2031-02-14,,Survey Team,15000,13500,13500,13500
883,3.31.5,Zone 31 - bore piles / drilled shafts (batch),30,2031-02-16,2031-03-17,,Pile Contractor,300000,270000,270000,270000
884,3.31.6,Zone 31 - cap beams & pile caps,14,2031-03-18,2031-03-31,,Concrete Contractor,120000,108000,108000,108000
885,3.31.7,Zone 31 - erect pylon segments 1-5,21,2031-04-07,2031-04-27,,Steel Erector,180000,162000,162000,162000
886,3.31.8,Zone 31 - install tube supports & saddles,14,2031-05-02,2031-05-15,,Assembly Crew,90000,81000,81000,81000
887,3.31.9,Zone 31 - tube section lift & place (10 sections),30,2031-05-17,2031-06-15,,Heavy Lift,250000,225000,225000,225000
888,3.31.10,Zone 31 - tube welding & seal welding,14,2031-06-16,2031-06-29,,Welding Team,80000,72000,72000,72000
889,3.31.11,Zone 31 - NDT & pressure testing,10,2031-07-01,2031-07-10,,QA Team,40000,36000,36000,36000
890,3.31.12,Zone 31 - pipework & HVAC for tube segment,21,2031-07-16,2031-08-05,,MEP Contractor,90000,81000,81000,81000
891,3.31.13,Zone 31 - install access hatches & maintenance walkways,10,2031-08-10,2031-08-19,,Steel Erector,30000,27000,27000,27000
892,3.31.14,Zone 31 - local controller & sensors install,14,2031-08-20,2031-09-02,,Control Systems,50000,45000,45000,45000
893,3.31.15,Zone 31 - cable tray & fiber install,10,2031-09-04,2031-09-13,,Telco Contractor,30000,27000,27000,27000
894,3.31.16,Zone 31 - access road rehabilitation,7,2031-09-19,2031-09-25,,Civil Contractor,15000,13500,13500,13500
895,3.32.1,Zone 32 - mobilize site compound,14,2031-02-03,2031-02-16,,Construction Contractor,50000,45000,45000,45000
896,3.32.2,Zone 32 - establish access roads,21,2031-02-08,2031-02-28,,Civil Contractor,80000,72000,72000,72000
897,3.32.3,Zone 32 - utility diversions & protections,28,2031-02-13,2031-03-12,,Utilities Contractor,100000,90000,90000,90000
898,3.32.4,Zone 32 - pile layout & markout,7,2031-02-15,2031-02-21,,Survey Team,15000,13500,13500,13500
899,3.32.5,Zone 32 - bore piles / drilled shafts (batch),30,2031-02-23,2031-03-24,,Pile Contractor,300000,270000,270000,270000
900,3.32.6,Zone 32 - cap beams & pile caps,14,2031-03-25,2031-04-07,,Concrete Contractor,120000,108000,108000,108000
901,3.32.7,Zone 32 - erect pylon segments 1-5,21,2031-04-14,2031-05-04,,Steel Erector,180000,162000,162000,162000
902,3.32.8,Zone 32 - install tube supports & saddles,14,2031-05-09,2031-05-22,,Assembly Crew,90000,81000,81000,81000
903,3.32.9,Zone 32 - tube section lift & place (10 sections),30,2031-05-24,2031-06-22,,Heavy Lift,250000,225000,225000,225000
904,3.32.10,Zone 32 - tube welding & seal welding,14,2031-06-23,2031-07-06,,Welding Team,80000,72000,72000,72000
905,3.32.11,Zone 32 - NDT & pressure testing,10,2031-07-08,2031-07-17,,QA Team,40000,36000,36000,36000
906,3.32.12,Zone 32 - pipework & HVAC for tube segment,21,2031-07-23,2031-08-12,,MEP Contractor,90000,81000,81000,81000
907,3.32.13,Zone 32 - install access hatches & maintenance walkways,10,2031-08-17,2031-08-26,,Steel Erector,30000,27000,27000,27000
908,3.32.14,Zone 32 - local controller & sensors install,14,2031-08-27,2031-09-09,,Control Systems,50000,45000,45000,45000
909,3.32.15,Zone 32 - cable tray & fiber install,10,2031-09-11,2031-09-20,,Telco Contractor,30000,27000,27000,27000
910,3.32.16,Zone 32 - access road rehabilitation,7,2031-09-26,2031-10-02,,Civil Contractor,15000,13500,13500,13500
911,3.33.1,Zone 33 - mobilize site compound,14,2031-02-10,2031-02-23,,Construction Contractor,50000,45000,45000,45000
912,3.33.2,Zone 33 - establish access roads,21,2031-02-15,2031-03-07,,Civil Contractor,80000,72000,72000,72000
913,3.33.3,Zone 33 - utility diversions & protections,28,2031-02-20,2031-03-19,,Utilities Contractor,100000,90000,90000,90000
914,3.33.4,Zone 33 - pile layout & markout,7,2031-02-22,2031-02-28,,Survey Team,15000,13500,13500,13500
915,3.33.5,Zone 33 - bore piles / drilled shafts (batch),30,2031-03-02,2031-03-31,,Pile Contractor,300000,270000,270000,270000
916,3.33.6,Zone 33 - cap beams & pile caps,14,2031-04-01,2031-04-14,,Concrete Contractor,120000,108000,108000,108000
917,3.33.7,Zone 33 - erect pylon segments 1-5,21,2031-04-21,2031-05-11,,Steel Erector,180000,162000,162000,162000
918,3.33.8,Zone 33 - install tube supports & saddles,14,2031-05-16,2031-05-29,,Assembly Crew,90000,81000,81000,81000
919,3.33.9,Zone 33 - tube section lift & place (10 sections),30,2031-05-31,2031-06-29,,Heavy Lift,250000,225000,225000,225000
920,3.33.10,Zone 33 - tube welding & seal welding,14,2031-06-30,2031-07-13,,Welding Team,80000,72000,72000,72000
921,3.33.11,Zone 33 - NDT & pressure testing,10,2031-07-15,2031-07-24,,QA Team,40000,36000,36000,36000
922,3.33.12,Zone 33 - pipework & HVAC for tube segment,21,2031-07-30,2031-08-19,,MEP Contractor,90000,81000,81000,81000
923,3.33.13,Zone 33 - install access hatches & maintenance walkways,10,2031-08-24,2031-09-02,,Steel Erector,30000,27000,27000,27000
924,3.33.14,Zone 33 - local controller & sensors install,14,2031-09-03,2031-09-16,,Control Systems,50000,45000,45000,45000
925,3.33.15,Zone 33 - cable tray & fiber install,10,2031-09-18,2031-09-27,,Telco Contractor,30000,27000,27000,27000
926,3.33.16,Zone 33 - access road rehabilitation,7,2031-10-03,2031-10-09,,Civil Contractor,15000,13500,13500,13500
927,3.34.1,Zone 34 - mobilize site compound,14,2031-02-17,2031-03-02,,Construction Contractor,50000,45000,45000,45000
928,3.34.2,Zone 34 - establish access roads,21,2031-02-22,2031-03-14,,Civil Contractor,80000,72000,72000,72000
929,3.34.3,Zone 34 - utility diversions & protections,28,2031-02-27,2031-03-26,,Utilities Contractor,100000,90000,90000,90000
930,3.34.4,Zone 34 - pile layout & markout,7,2031-03-01,2031-03-07,,Survey Team,15000,13500,13500,13500
931,3.34.5,Zone 34 - bore piles / drilled shafts (batch),30,2031-03-09,2031-04-07,,Pile Contractor,300000,270000,270000,270000
932,3.34.6,Zone 34 - cap beams & pile caps,14,2031-04-08,2031-04-21,,Concrete Contractor,120000,108000,108000,108000
933,3.34.7,Zone 34 - erect pylon segments 1-5,21,2031-04-28,2031-05-18,,Steel Erector,180000,162000,162000,162000
934,3.34.8,Zone 34 - install tube supports & saddles,14,2031-05-23,2031-06-05,,Assembly Crew,90000,81000,81000,81000
935,3.34.9,Zone 34 - tube section lift & place (10 sections),30,2031-06-07,2031-07-06,,Heavy Lift,250000,225000,225000,225000
936,3.34.10,Zone 34 - tube welding & seal welding,14,2031-07-07,2031-07-20,,Welding Team,80000,72000,72000,72000
937,3.34.11,Zone 34 - NDT & pressure testing,10,2031-07-22,2031-07-31,,QA Team,40000,36000,36000,36000
938,3.34.12,Zone 34 - pipework & HVAC for tube segment,21,2031-08-06,2031-08-26,,MEP Contractor,90000,81000,81000,81000
939,3.34.13,Zone 34 - install access hatches & maintenance walkways,10,2031-08-31,2031-09-09,,Steel Erector,30000,27000,27000,27000
940,3.34.14,Zone 34 - local controller & sensors install,14,2031-09-10,2031-09-23,,Control Systems,50000,45000,45000,45000
941,3.34.15,Zone 34 - cable tray & fiber install,10,2031-09-25,2031-10-04,,Telco Contractor,30000,27000,27000,27000
942,3.34.16,Zone 34 - access road rehabilitation,7,2031-10-10,2031-10-16,,Civil Contractor,15000,13500,13500,13500
943,3.35.1,Zone 35 - mobilize site compound,14,2031-02-24,2031-03-09,,Construction Contractor,50000,45000,45000,45000
944,3.35.2,Zone 35 - establish access roads,21,2031-03-01,2031-03-21,,Civil Contractor,80000,72000,72000,72000
945,3.35.3,Zone 35 - utility diversions & protections,28,2031-03-06,2031-04-02,,Utilities Contractor,100000,90000,90000,90000
946,3.35.4,Zone 35 - pile layout & markout,7,2031-03-08,2031-03-14,,Survey Team,15000,13500,13500,13500
947,3.35.5,Zone 35 - bore piles / drilled shafts (batch),30,2031-03-16,2031-04-14,,Pile Contractor,300000,270000,270000,270000
948,3.35.6,Zone 35 - cap beams & pile caps,14,2031-04-15,2031-04-28,,Concrete Contractor,120000,108000,108000,108000
949,3.35.7,Zone 35 - erect pylon segments 1-5,21,2031-05-05,2031-05-25,,Steel Erector,180000,162000,162000,162000
950,3.35.8,Zone 35 - install tube supports & saddles,14,2031-05-30,2031-06-12,,Assembly Crew,90000,81000,81000,81000
951,3.35.9,Zone 35 - tube section lift & place (10 sections),30,2031-06-14,2031-07-13,,Heavy Lift,250000,225000,225000,225000
952,3.35.10,Zone 35 - tube welding & seal welding,14,2031-07-14,2031-07-27,,Welding Team,80000,72000,72000,72000
953,3.35.11,Zone 35 - NDT & pressure testing,10,2031-07-29,2031-08-07,,QA Team,40000,36000,36000,36000
954,3.35.12,Zone 35 - pipework & HVAC for tube segment,21,2031-08-13,2031-09-02,,MEP Contractor,90000,81000,81000,81000
955,3.35.13,Zone 35 - install access hatches & maintenance walkways,10,2031-09-07,2031-09-16,,Steel Erector,30000,27000,27000,27000
956,3.35.14,Zone 35 - local controller & sensors install,14,2031-09-17,2031-09-30,,Control Systems,50000,45000,45000,45000
957,3.35.15,Zone 35 - cable tray & fiber install,10,2031-10-02,2031-10-11,,Telco Contractor,30000,27000,27000,27000
958,3.35.16,Zone 35 - access road rehabilitation,7,2031-10-17,2031-10-23,,Civil Contractor,15000,13500,13500,13500
959,3.36.1,Zone 36 - mobilize site compound,14,2031-03-03,2031-03-16,,Construction Contractor,50000,45000,45000,45000
960,3.36.2,Zone 36 - establish access roads,21,2031-03-08,2031-03-28,,Civil Contractor,80000,72000,72000,72000
961,3.36.3,Zone 36 - utility diversions & protections,28,2031-03-13,2031-04-09,,Utilities Contractor,100000,90000,90000,90000
962,3.36.4,Zone 36 - pile layout & markout,7,2031-03-15,2031-03-21,,Survey Team,15000,13500,13500,13500
963,3.36.5,Zone 36 - bore piles / drilled shafts (batch),30,2031-03-23,2031-04-21,,Pile Contractor,300000,270000,270000,270000
964,3.36.6,Zone 36 - cap beams & pile caps,14,2031-04-22,2031-05-05,,Concrete Contractor,120000,108000,108000,108000
965,3.36.7,Zone 36 - erect pylon segments 1-5,21,2031-05-12,2031-06-01,,Steel Erector,180000,162000,162000,162000
966,3.36.8,Zone 36 - install tube supports & saddles,14,2031-06-06,2031-06-19,,Assembly Crew,90000,81000,81000,81000
967,3.36.9,Zone 36 - tube section lift & place (10 sections),30,2031-06-21,2031-07-20,,Heavy Lift,250000,225000,225000,225000
968,3.36.10,Zone 36 - tube welding & seal welding,14,2031-07-21,2031-08-03,,Welding Team,80000,72000,72000,72000
969,3.36.11,Zone 36 - NDT & pressure testing,10,2031-08-05,2031-08-14,,QA Team,40000,36000,36000,36000
970,3.36.12,Zone 36 - pipework & HVAC for tube segment,21,2031-08-20,2031-09-09,,MEP Contractor,90000,81000,81000,81000
971,3.36.13,Zone 36 - install access hatches & maintenance walkways,10,2031-09-14,2031-09-23,,Steel Erector,30000,27000,27000,27000
972,3.36.14,Zone 36 - local controller & sensors install,14,2031-09-24,2031-10-07,,Control Systems,50000,45000,45000,45000
973,3.36.15,Zone 36 - cable tray & fiber install,10,2031-10-09,2031-10-18,,Telco Contractor,30000,27000,27000,27000
974,3.36.16,Zone 36 - access road rehabilitation,7,2031-10-24,2031-10-30,,Civil Contractor,15000,13500,13500,13500
975,3.37.1,Zone 37 - mobilize site compound,14,2031-03-10,2031-03-23,,Construction Contractor,50000,45000,45000,45000
976,3.37.2,Zone 37 - establish access roads,21,2031-03-15,2031-04-04,,Civil Contractor,80000,72000,72000,72000
977,3.37.3,Zone 37 - utility diversions & protections,28,2031-03-20,2031-04-16,,Utilities Contractor,100000,90000,90000,90000
978,3.37.4,Zone 37 - pile layout & markout,7,2031-03-22,2031-03-28,,Survey Team,15000,13500,13500,13500
979,3.37.5,Zone 37 - bore piles / drilled shafts (batch),30,2031-03-30,2031-04-28,,Pile Contractor,300000,270000,270000,270000
980,3.37.6,Zone 37 - cap beams & pile caps,14,2031-04-29,2031-05-12,,Concrete Contractor,120000,108000,108000,108000
981,3.37.7,Zone 37 - erect pylon segments 1-5,21,2031-05-19,2031-06-08,,Steel Erector,180000,162000,162000,162000
982,3.37.8,Zone 37 - install tube supports & saddles,14,2031-06-13,2031-06-26,,Assembly Crew,90000,81000,81000,81000
983,3.37.9,Zone 37 - tube section lift & place (10 sections),30,2031-06-28,2031-07-27,,Heavy Lift,250000,225000,225000,225000
984,3.37.10,Zone 37 - tube welding & seal welding,14,2031-07-28,2031-08-10,,Welding Team,80000,72000,72000,72000
985,3.37.11,Zone 37 - NDT & pressure testing,10,2031-08-12,2031-08-21,,QA Team,40000,36000,36000,36000
986,3.37.12,Zone 37 - pipework & HVAC for tube segment,21,2031-08-27,2031-09-16,,MEP Contractor,90000,81000,81000,81000
987,3.37.13,Zone 37 - install access hatches & maintenance walkways,10,2031-09-21,2031-09-30,,Steel Erector,30000,27000,27000,27000
988,3.37.14,Zone 37 - local controller & sensors install,14,2031-10-01,2031-10-14,,Control Systems,50000,45000,45000,45000
989,3.37.15,Zone 37 - cable tray & fiber install,10,2031-10-16,2031-10-25,,Telco Contractor,30000,27000,27000,27000
990,3.37.16,Zone 37 - access road rehabilitation,7,2031-10-31,2031-11-06,,Civil Contractor,15000,13500,13500,13500
991,3.38.1,Zone 38 - mobilize site compound,14,2031-03-17,2031-03-30,,Construction Contractor,50000,45000,45000,45000
992,3.38.2,Zone 38 - establish access roads,21,2031-03-22,2031-04-11,,Civil Contractor,80000,72000,72000,72000
993,3.38.3,Zone 38 - utility diversions & protections,28,2031-03-27,2031-04-23,,Utilities Contractor,100000,90000,90000,90000
994,3.38.4,Zone 38 - pile layout & markout,7,2031-03-29,2031-04-04,,Survey Team,15000,13500,13500,13500
995,3.38.5,Zone 38 - bore piles / drilled shafts (batch),30,2031-04-06,2031-05-05,,Pile Contractor,300000,270000,270000,270000
996,3.38.6,Zone 38 - cap beams & pile caps,14,2031-05-06,2031-05-19,,Concrete Contractor,120000,108000,108000,108000
997,3.38.7,Zone 38 - erect pylon segments 1-5,21,2031-05-26,2031-06-15,,Steel Erector,180000,162000,162000,162000
998,3.38.8,Zone 38 - install tube supports & saddles,14,2031-06-20,2031-07-03,,Assembly Crew,90000,81000,81000,81000
999,3.38.9,Zone 38 - tube section lift & place (10 sections),30,2031-07-05,2031-08-03,,Heavy Lift,250000,225000,225000,225000
1000,3.38.10,Zone 38 - tube welding & seal welding,14,2031-08-04,2031-08-17,,Welding Team,80000,72000,72000,72000
1001,3.38.11,Zone 38 - NDT & pressure testing,10,2031-08-19,2031-08-28,,QA Team,40000,36000,36000,36000
1002,3.38.12,Zone 38 - pipework & HVAC for tube segment,21,2031-09-03,2031-09-23,,MEP Contractor,90000,81000,81000,81000
1003,3.38.13,Zone 38 - install access hatches & maintenance walkways,10,2031-09-28,2031-10-07,,Steel Erector,30000,27000,27000,27000
1004,3.38.14,Zone 38 - local controller & sensors install,14,2031-10-08,2031-10-21,,Control Systems,50000,45000,45000,45000
1005,3.38.15,Zone 38 - cable tray & fiber install,10,2031-10-23,2031-11-01,,Telco Contractor,30000,27000,27000,27000
1006,3.38.16,Zone 38 - access road rehabilitation,7,2031-11-07,2031-11-13,,Civil Contractor,15000,13500,13500,13500
1007,3.39.1,Zone 39 - mobilize site compound,14,2031-03-24,2031-04-06,,Construction Contractor,50000,45000,45000,45000
1008,3.39.2,Zone 39 - establish access roads,21,2031-03-29,2031-04-18,,Civil Contractor,80000,72000,72000,72000
1009,3.39.3,Zone 39 - utility diversions & protections,28,2031-04-03,2031-04-30,,Utilities Contractor,100000,90000,90000,90000
1010,3.39.4,Zone 39 - pile layout & markout,7,2031-04-05,2031-04-11,,Survey Team,15000,13500,13500,13500
1011,3.39.5,Zone 39 - bore piles / drilled shafts (batch),30,2031-04-13,2031-05-12,,Pile Contractor,300000,270000,270000,270000
1012,3.39.6,Zone 39 - cap beams & pile caps,14,2031-05-13,2031-05-26,,Concrete Contractor,120000,108000,108000,108000
1013,3.39.7,Zone 39 - erect pylon segments 1-5,21,2031-06-02,2031-06-22,,Steel Erector,180000,162000,162000,162000
1014,3.39.8,Zone 39 - install tube supports & saddles,14,2031-06-27,2031-07-10,,Assembly Crew,90000,81000,81000,81000
1015,3.39.9,Zone 39 - tube section lift & place (10 sections),30,2031-07-12,2031-08-10,,Heavy Lift,250000,225000,225000,225000
